Open,High,Low,LTP
0.152671756,0.174567344,0.160427807,0.177099237
0.177099237,0.182844244,0.189457601,0.185496183
0.185496183,0.184349135,0.188693659,0.185496183
0.185496183,0.173814898,0.180290298,0.176335878
0.176335878,0.164785553,0.168067227,0.164122137
0.164122137,0.175319789,0.172650879,0.177862595
0.177862595,0.173062453,0.170359053,0.166412214
0.166412214,0.161775771,0.168067227,0.164122137
0.164122137,0.169300226,0.168067227,0.170992366
0.170992366,0.173062453,0.174942704,0.170992366
0.170992366,0.161775771,0.158899924,0.154961832
0.154961832,0.161023326,0.150496562,0.163358779
0.163358779,0.171557562,0.171886937,0.174045802
0.174045802,0.176072235,0.174178762,0.178625954
0.178625954,0.169300226,0.170359053,0.166412214
0.166412214,0.163280662,0.168067227,0.165648855
0.165648855,0.154251317,0.152788388,0.148854962
0.148854962,0.139202408,0.138273491,0.134351145
0.134351145,0.132430399,0.12605042,0.122137405
0.122137405,0.132430399,0.12987013,0.125954198
0.125954198,0.115876599,0.113827349,0.114503817
0.114503817,0.105342363,0.097020626,0.095419847
0.095419847,0.101580135,0.10236822,0.103053435
0.103053435,0.10910459,0.114591291,0.110687023
0.110687023,0.148984199,0.12223071,0.151145038
0.151145038,0.146726862,0.145148969,0.141221374
0.141221374,0.158013544,0.145148969,0.160305344
0.160305344,0.154251317,0.160427807,0.15648855
0.15648855,0.154251317,0.152024446,0.148091603
0.148091603,0.154251317,0.160427807,0.15648855
0.15648855,0.162528217,0.161191749,0.157251908
0.157251908,0.158013544,0.160427807,0.160305344
0.160305344,0.149736644,0.148968678,0.145038168
0.145038168,0.139202408,0.145148969,0.141221374
0.141221374,0.154251317,0.15355233,0.154961832
0.154961832,0.161023326,0.152788388,0.148854962
0.148854962,0.139202408,0.144385027,0.140458015
0.140458015,0.146726862,0.152788388,0.148854962
0.148854962,0.15048909,0.156608098,0.152671756
0.152671756,0.14221219,0.138273491,0.136641221
0.136641221,0.139202408,0.142093201,0.138167939
0.138167939,0.161775771,0.142093201,0.164122137
0.164122137,0.197893153,0.17723453,0.190839695
0.190839695,0.195635816,0.189457601,0.188549618
0.188549618,0.188111362,0.183346066,0.179389313
0.179389313,0.17682468,0.174178762,0.171755725
0.171755725,0.169300226,0.168831169,0.164885496
0.164885496,0.171557562,0.177998472,0.174045802
0.174045802,0.180586907,0.171122995,0.170992366
0.170992366,0.175319789,0.172650879,0.171755725
0.171755725,0.176072235,0.168067227,0.178625954
0.178625954,0.167042889,0.168067227,0.164122137
0.164122137,0.167795335,0.168067227,0.164122137
0.164122137,0.165537998,0.166539343,0.165648855
0.165648855,0.167042889,0.168067227,0.164122137
0.164122137,0.164785553,0.168067227,0.164122137
0.164122137,0.162528217,0.168067227,0.164122137
0.171755725,0.167042889,0.168831169,0.164885496
0.164885496,0.166290444,0.170359053,0.16870229
0.16870229,0.16854778,0.171886937,0.170992366
0.170992366,0.169300226,0.164247517,0.166412214
0.166412214,0.171557562,0.168067227,0.164122137
0.164122137,0.079006772,0.084033613,0.080152672
0.080152672,0.072234763,0.077158136,0.073282443
0.073282443,0.072234763,0.070282659,0.073282443
0.073282443,0.079006772,0.077158136,0.080152672
0.080152672,0.085778781,0.090909091,0.087022901
0.087022901,0.088788563,0.087853323,0.083969466
0.083969466,0.079006772,0.084033613,0.080152672
0.080152672,0.085026336,0.084033613,0.083969466
0.083969466,0.07599699,0.080977846,0.077099237
0.077099237,0.072234763,0.074102368,0.070229008
0.070229008,0.06772009,0.067226891,0.06870229
0.06870229,0.061700527,0.065699007,0.06259542
0.06259542,0.060195636,0.064935065,0.061068702
0.061068702,0.070729872,0.064935065,0.071755725
