Date,Open,High,Low,LTP
6/19/2017,0.381256133,0.365530303,0.379327399,0.371373308
6/20/2017,0.376840039,0.363162879,0.37487636,0.367504836
6/21/2017,0.372914622,0.365530303,0.381800198,0.376208897
6/22/2017,0.381746811,0.376893939,0.382294758,0.372340426
6/25/2017,0.377821394,0.379734848,0.389218595,0.390232108
6/27/2017,0.395976447,0.383996212,0.399109792,0.391199226
6/28/2017,0.396957802,0.384469697,0.399109792,0.395067698
7/2/2017,0.400883219,0.383996212,0.386745796,0.385396518
7/3/2017,0.391069676,0.375,0.391691395,0.383462282
7/4/2017,0.389106968,0.374526515,0.392680514,0.383945841
7/5/2017,0.389597645,0.377367424,0.394164194,0.383462282
7/6/2017,0.389106968,0.384469697,0.394164194,0.395551257
7/9/2017,0.401373896,0.396306818,0.401582591,0.395551257
7/10/2017,0.401373896,0.386837121,0.401582591,0.392166344
7/11/2017,0.397939156,0.389204545,0.40652819,0.398452611
7/12/2017,0.404317959,0.393939394,0.411473788,0.404738878
7/13/2017,0.410696762,0.396306818,0.412462908,0.406673114
7/16/2017,0.41265947,0.398674242,0.40652819,0.410058027
7/17/2017,0.41609421,0.431344697,0.426310584,0.44245648
7/18/2017,0.448969578,0.455492424,0.455489614,0.462282398
7/19/2017,0.469087341,0.464962121,0.480712166,0.471953578
7/20/2017,0.478900883,0.464962121,0.483679525,0.471953578
7/23/2017,0.478900883,0.462594697,0.470820969,0.460831721
7/24/2017,0.467615309,0.455492424,0.455984174,0.448742747
7/25/2017,0.455348381,0.441287879,0.459446093,0.449709865
7/26/2017,0.456329735,0.45217803,0.461918892,0.453578337
7/27/2017,0.460255152,0.450757576,0.46834817,0.45696325
7/30/2017,0.463689892,0.446022727,0.460929773,0.453578337
7/31/2017,0.460255152,0.445549242,0.465875371,0.454545455
8/1/2017,0.461236506,0.451704545,0.46834817,0.460831721
8/2/2017,0.467615309,0.450757576,0.470820969,0.462282398
8/3/2017,0.469087341,0.467329545,0.481701286,0.476305609
8/6/2017,0.483316977,0.494791667,0.505440158,0.505802708
8/7/2017,0.513248283,0.513731061,0.53016815,0.525145068
8/9/2017,0.532875368,0.525568182,0.542532146,0.530947776
8/10/2017,0.538763494,0.51657197,0.523244313,0.520309478
8/13/2017,0.527968597,0.511837121,0.527695351,0.516441006
8/15/2017,0.52404318,0.502367424,0.515331355,0.501934236
8/16/2017,0.509322866,0.495738636,0.511869436,0.500967118
8/17/2017,0.508341511,0.503314394,0.510385757,0.510154739
8/20/2017,0.517664377,0.507575758,0.521266073,0.509187621
8/21/2017,0.516683023,0.493371212,0.512858556,0.501934236
8/22/2017,0.509322866,0.493371212,0.513847676,0.506286267
8/23/2017,0.51373896,0.498106061,0.520276954,0.506769826
8/24/2017,0.514229637,0.493371212,0.514342235,0.506286267
8/27/2017,0.51373896,0.53125,0.53264095,0.524661509
8/28/2017,0.532384691,0.526041667,0.534124629,0.522243714
8/30/2017,0.529931305,0.512310606,0.516320475,0.510154739
8/31/2017,0.517664377,0.502840909,0.504945598,0.492263056
9/4/2017,0.499509323,0.479640152,0.475766568,0.475338491
9/6/2017,0.482335623,0.486268939,0.490603363,0.489361702
9/7/2017,0.49656526,0.479166667,0.493076162,0.480174081
9/10/2017,0.487242395,0.473484848,0.471810089,0.460348162
9/11/2017,0.467124632,0.455492424,0.462413452,0.458413926
9/12/2017,0.280667321,0.258996212,0.253709199,0.246131528
9/13/2017,0.249754661,0.237689394,0.243323442,0.243230174
9/14/2017,0.246810599,0.247159091,0.252720079,0.252901354
9/17/2017,0.256624141,0.268465909,0.263105836,0.272243714
9/18/2017,0.276251227,0.275568182,0.285361029,0.281431335
9/20/2017,0.285574092,0.277462121,0.284866469,0.276595745
9/24/2017,0.280667321,0.270833333,0.278931751,0.276595745
9/25/2017,0.280667321,0.273200758,0.286844708,0.279497099
9/26/2017,0.283611384,0.273200758,0.283382789,0.281431335
10/3/2017,0.285574092,0.273200758,0.279426311,0.281914894
